Date,Users,Pageviews
2018-08-20,526251,985910
2018-08-21,442698,859858
2018-08-22,420647,807701
2018-08-23,435211,858814
2018-08-24,380583,760361
2018-08-25,314199,604577
2018-08-26,312607,564691
2018-08-27,398395,817678
2018-08-28,400921,835086
2018-08-29,402286,839001
2018-08-30,420242,849477
2018-08-31,402584,804517
2018-09-01,373985,700460
2018-09-02,351517,639859
2018-09-03,402319,807703
2018-09-04,412996,849745
2018-09-05,395026,815010
2018-09-06,479064,959598
2018-09-07,459564,897959
2018-09-08,399785,741412
2018-09-09,428976,768027
2018-09-10,476926,972053
2018-09-11,388549,827194
2018-09-12,360187,783988
2018-09-13,351130,702890
2018-09-14,369359,742094
2018-09-15,353913,672962
2018-09-16,346664,647156
2018-09-17,383479,808444
2018-09-18,379879,802164
2018-09-19,371069,772472
2018-09-20,380113,781703
2018-09-21,371407,737246
2018-09-22,359710,680002
2018-09-23,335382,624867
2018-09-24,415296,848068
2018-09-25,403957,821792
2018-09-26,402009,829245
2018-09-27,436992,871849
2018-09-28,411779,818226
2018-09-29,377423,700886
2018-09-30,359603,641997
2018-10-01,426948,830955
2018-10-02,399773,740499
2018-10-03,407954,816009
2018-10-04,366321,767703
2018-10-05,340934,714880
2018-10-06,280591,549122
2018-10-07,286785,547002
2018-10-08,319506,682788
2018-10-09,284597,649546
2018-10-10,285940,629794
2018-10-11,296897,653563
2018-10-12,294720,631329
2018-10-13,255395,503006
2018-10-14,255095,495450
2018-10-15,295949,641096
2018-10-16,289111,631660
2018-10-17,268040,602642
2018-10-18,237572,516249
2018-10-19,238502,487891
2018-10-20,264421,526875
2018-10-21,254336,502002
2018-10-22,286122,648714
2018-10-23,291635,654047
2018-10-24,293875,633901
2018-10-25,281992,630249
2018-10-26,272625,596042
2018-10-27,252408,504032
2018-10-28,235914,479486
2018-10-29,298326,685930
2018-10-30,292677,704012
2018-10-31,299281,684848
2018-11-01,276622,632963
2018-11-02,273084,604499
2018-11-03,232015,477649
2018-11-04,219917,443058
2018-11-05,251190,545908
2018-11-06,230723,497015
2018-11-07,206744,428005
2018-11-08,249422,548473
2018-11-09,244253,533454
2018-11-10,234341,473185
2018-11-11,247862,481888
2018-11-12,294451,651984
2018-11-13,268997,620597
2018-11-14,312875,660116
2018-11-15,188336,492540
2018-11-16,285053,650367
2018-11-17,258164,550410
2018-11-18,248021,506658
2018-11-19,287582,635757
2018-11-20,274450,617756
2018-11-21,261663,574862
2018-11-22,276547,596359
2018-11-23,250114,533330
2018-11-24,240637,484514
2018-11-25,268067,516018
2018-11-26,319492,693351
2018-11-27,275320,636150
2018-11-28,277133,619379
2018-11-29,279427,615528
2018-11-30,264584,579788
2018-12-01,232782,474899
2018-12-02,232489,449735
2018-12-03,274826,608749
2018-12-04,263136,580763
2018-12-05,281989,614773
2018-12-06,295761,613945
2018-12-07,304678,608237
2018-12-08,239633,463203
2018-12-09,239838,454875
2018-12-10,299186,637126
2018-12-11,402068,942058
2018-12-12,289806,725326
2018-12-13,282726,632414
2018-12-14,270710,585781
2018-12-15,232336,479519
2018-12-16,234431,460884
2018-12-17,279219,607950
2018-12-18,262387,575283
2018-12-19,253369,561151
2018-12-20,266665,568441
2018-12-21,269417,563773
2018-12-22,236174,461645
2018-12-23,209048,410735
2018-12-24,230434,505877
2018-12-25,200564,438090
2018-12-26,231075,520507
2018-12-27,229495,524029
2018-12-28,237565,515590
2018-12-29,223390,464185
2018-12-30,229493,448973
2018-12-31,211867,469721
2019-01-01,190384,429716
2019-01-02,248841,572815
2019-01-03,254254,583251
2019-01-04,232599,547332
2019-01-05,232143,476296
2019-01-06,239361,462143
2019-01-07,276234,618571
2019-01-08,263256,607601
